NAMC_ID,NAMC_CODE,NAMC_term,NAMC _term_diacritical,  NAMC _term_DEVANAGARI,short_definition,long_definition,ontology_branches
11,AAA-2.4,VYANAVATAKOPAH,vyānavātakōpaḥ,व्यानवातकोपः,vitiated vyānavāyu ,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body] ",
12,AAA-2.5,SAMANAVATAKOPAH,samānavātakōpaḥ,समानवातकोपः,vitiated samānavāyu ,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya] ",
13,AAA-2.6,APANAVATAKOPAH,apānavātakōpaḥ,अपानवातकोपः,vitiated apānavāyu ,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse] ",
14,AAA-3,VATAPRASARANAM,vātaprasaraṇam,वातप्रसरणम्,spreading of vātadōṣa ,"the disorder is characterized by vāyōrvimārgagamanam [abnormal movements of vāyu], āṭōpaḥ [gurgling sound of the intestines/barborygmus] ",
15,AAA-4,VATAKSHAYAH,vātakṣayaḥ,वातक्षयः,depletion of vātadōṣa ,"the disorder is characterized by mandacēṣṭatā [sluggishness in body activities], alpavāktvam/alpabhāṣaṇam [reduced talking], apraharṣaḥ [displeasure/discontent], mūḍhasaṁjñatā [loss of consciousness], aṅgasādaḥ [exhaustion or tirednes to body /inability to perform physical activities], alpēhitam/alpacēṣṭatā [reduced activities], saṁjñāmōhaḥ [loss of investigating intelligence/loss of conciousness], ślōṣmavr̥ddhijanyāmayāḥ [diseases due to increased kapha], prasēkaḥ [excessive salivation], aruciḥ [tastelessness], hr̥̄llāsaḥ [nausea /palpitation of heart], agnivaiṣamyaḥ [impairment of agni (digestive power)] ",
16,AAB,NANATMAJAVATAVIKARAH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,diseases due only to vitiated vāta , ,
17,AAB-1,ATIPRALAPAH (KEVALAVATA),atipralāpaḥ (kēvalavāta),अतिप्रलापः (केवलवात),delirium in excess (due only to vātadōṣa) ,"the disorder is characterized by asambaddhavācanam [incoherent speech], nirarthakavācanam [meaningless/nonsensical speech] ",
18,AAB-2,ANAVASTHITACITTATVAM (KEVALAVATA),anavasthitacittatvam (kēvalavāta),अनवस्थितचित्तत्वम् (केवलवात),unstable state of mind (due only to vātadōṣa) , ,
19,AAB-3,ANGAMARDAH (KEVALAVATA),aṅgamardaḥ (kēvalavāta),अङ्गमर्दः (केवलवात),generalized body ache (due only to vātadōṣa) , ,
20,AAB-4,ANGASUSHKATA (KEVALAVATA),aṅgaśuṣkatā (kēvalavāta),अङ्गशुष्कता (केवलवात),wasting of body part(s) (due only to vātadōṣa) , ,
21,AAB-5,ANGAVIBRAMSAH (KEVALAVATA),aṅgavibhraṁśaḥ (kēvalavāta),अङ्गविभ्रंशः (केवलवात),dislocation/laxity of body part(s) (due only to vātadōṣa) , ,
22,AAB-6,ARDITAH (KEVALAVATA),arditaḥ (kēvalavāta),अर्दितः (केवलवात),facial paralysis (due only to vātadōṣa) , ,
23,AAB-7,ARASAJNATA (KEVALAVATA),arasajñatā (kēvalavāta),अरसज्ञता (केवलवात),ageusia (due only to vātadōṣa) , ,
24,AAB-8,ASABDASRAVANAM (KEVALAVATA),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),tinnitus (due only to vātadōṣa) , ,
25,AAB-9,ASVAPNAH (KEVALAVATA),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),insomnia (due only to vātadōṣa) , ,
26,AAB-10,AKSHIBEDAH (KEVALAVATA),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),tearing pain of eye (due only to vātadōṣa) , ,
27,AAB-11,AKSHIVYUDASAH (KEVALAVATA),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),ptosis of eye ball (due only to vātadōṣa) , ,
28,AAB-12,AKSHISULAH (KEVALAVATA),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),piercing type of eye pain (due only to vātadōṣa) , ,
29,AAB-13,ATOPAH (KEVALAVATA),āṭōpaḥ (kēvalavāta),आटोपः (केवलवात),borborygmus (due only to vātadōṣa) , ,
30,AAB-14,AKSHEPAKAH (KEVALAVATA),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),clonic convulsion (due only to vātadōṣa) , ,
31,AAB-15,UCCAIHSRUTIH (KEVALAVATA),uccaiḥśrutiḥ (kēvalavāta),उच्चैःश्रुतिः (केवलवात),hypacousia (due only to vātadōṣa) , ,
32,AAB-16,UDARAVESHTAH (KEVALAVATA),udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),feeling of abdomen as if enveloped by a cloth (due only to vātadōṣa) , ,
33,AAB-17,UDAVARTAH (KEVALAVATA),udāvartaḥ (kēvalavāta),उदावर्तः (केवलवात),obstipation (due only to vātadōṣa) , ,
34,AAB-18,URUSTAMBAH/ADHYAVATAH (KEVALAVATA),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),stiff thigh (due only to vātadōṣa) , ,
35,AAB-19,URUSADAH (KEVALAVATA),ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),thigh fatigue (due only to vātadōṣa) , ,
36,AAB-20,EKANGAROGAH (KEVALAVATA),ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),monoplegia (due only to vātadōṣa) , ,
37,AAB-21,OSHTHABEDAH (KEVALAVATA),ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),cleft lip (due only to vātadōṣa) , ,
38,AAB-22,KANTHODHVAMSAH (KEVALAVATA),kaṇṭhōdhvaṁsaḥ (kēvalavāta),कण्ठोध्वंसः (केवलवात),hoarseness of voice (due only to vātadōṣa) , ,
39,AAB-23,KARNASULAH (KEVALAVATA),karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),earache/otalgia (due only to vātadōṣa) , ,
40,AAB-24,KAMPAH/VEPATHUH (KEVALAVATA),kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),tremor (due only to vātadōṣa) , ,
41,AAB-25,KASHAYASYATA (KEVALAVATA),kaṣāyāsyatā (kēvalavāta),कषायास्यता (केवलवात),feeling of astringent taste (due only to vātadōṣa) , ,
42,AAB-26,KLAMAH (KEVALAVATA),klamaḥ (kēvalavāta),क्लमः (केवलवात),fatigue without physical exertion/sense-fatigue (due only to vātadōṣa) , ,
43,AAB-27,KARSHNYAM (KEVALAVATA),kārṣṇyam (kēvalavāta),कार्ष्ण्यम् (केवलवात),blackish discoloration (due only to vātadōṣa) , ,
44,AAB-28,KUBJATVAM (KEVALAVATA),kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),kyphosis/captocormia (due only to vātadōṣa) , ,
45,AAB-29,KARSYAM (KEVALAVATA),kārśyam (kēvalavāta),कार्श्यम् (केवलवात),emaciation (due only to vātadōṣa) , ,
46,AAB-30,KESABUMISPUTANAM (KEVALAVATA),kēśabhūmisphuṭanam (kēvalavāta),केशभूमिस्फुटनम् (केवलवात),cracking of scalp (due only to vātadōṣa) , ,
47,AAB-31,KHANJAH/KHANJATVAM (KEVALAVATA),khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),lameness (unilateral) (due only to vātadōṣa) , ,
48,AAB-32,GARBANASAH (KEVALAVATA),garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),foetal distress/foetal death (due only to vātadōṣa) , ,
49,AAB-33,GRIVASTAMBAH/GRIVAHUNDANAM (KEVALAVATA),grīvāstambhaḥ/grīvāhuṇḍanam (kēvalavāta),ग्रीवास्तम्भः (केवलवात),neck stiffness/torticollis/spasmodic torticollois (due only to vātadōṣa) , ,
50,AAB-34,GUDABRAMSAH (KEVALAVATA),gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),rectal prolapse (due only to vātadōṣa) , ,
51,AAB-35,GUDARTIH (KEVALAVATA),gudārtiḥ (kēvalavāta),गुदार्तिः (केवलवात),anal pain/proctalgia (due only to vātadōṣa) , ,
52,AAB-36,GULPA-GRAHAH (KEVALAVATA),gulpha-grahaḥ (kēvalavāta),गुल्फ-ग्रहः (केवलवात),stiff ankle (due only to vātadōṣa) , ,
53,AAB-37,GRUDHRASI (KEVALAVATA),gr̥dhrasī (kēvalavāta),गृध्रसी (केवलवात),sciatia (due only to vātadōṣa) ,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body] ",
54,AAB-38,GHRANANASAH/NASAHUNDANAM (KEVALAVATA),ghrāṇanāśaḥ/nāsāhuṇḍanam (kēvalavāta),घ्राणनाशः/नासाहुण्डनम् (केवलवात),anosmia (due only to vātadōṣa) , ,
55,AAB-39,JANUBEDAH (KEVALAVATA),jānubhēdaḥ (kēvalavāta),जानुभेदः (केवलवात),breaking pain of knees (due only to vātadōṣa) , ,
56,AAB-40,JANUVISLESHAH (KEVALAVATA),jānuviślēṣaḥ (kēvalavāta),जानुविश्लेषः (केवलवात),lax knee (due only to vātadōṣa) , ,
57,AAB-41,JRUMBA (KEVALAVATA),jr̥mbhā (kēvalavāta),जृम्भा (केवलवात),morbid yawning/oscitation (due only to vātadōṣa) , ,
58,AAB-42,TAMAH (KEVALAVATA),tamaḥ (kēvalavāta),तमः (केवलवात),fainting/syncope (due only to vātadōṣa) , ,
60,AAB-43,TIMIRAH (KEVALAVATA),timiraḥ (kēvalavāta),तिमिरः (केवलवात),partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣa) , ,
61,AAB-44,TVAKSUNYATA (KEVALAVATA),tvakśūnyatā (kēvalavāta),त्वक्शून्यता (केवलवात),hypoesthesia (due only to vātadōṣa) , ,
62,AAB-45,TODAH (KEVALAVATA),tōdaḥ (kēvalavāta),तोदः (केवलवात),pricking pain (due only to vātadōṣa) , ,
63,AAB-46,DANDAKAH (KEVALAVATA),daṇḍakaḥ (kēvalavāta),दण्डकः (केवलवात),tonic convulsion (due only to vātadōṣa) , ,
64,AAB-47,DANTABEDAH (KEVALAVATA),dantabhēdaḥ (kēvalavāta),दन्तभेदः (केवलवात),odontalgia/tooth fracture (due only to vātadōṣa) , ,
65,AAB-48,DANTASAITHILYAM (KEVALAVATA),dantaśaithilyam (kēvalavāta),दन्तशैथिल्यम् (केवलवात),tooth mobility (due only to vātadōṣa) , ,
66,AAB-49,NAKHABEDAH (KEVALAVATA),nakhabhēdaḥ (kēvalavāta),नखभेदः (केवलवात),brittle nail (due only to vātadōṣa) , ,
67,AAB-50,HRASVAKESAH (KEVALAVATA),hrasvakēśaḥ (kēvalavāta),ह्रस्वकेशः (केवलवात),short hair (due only to vātadōṣa) , ,
68,AAB-51,NIRAMAVATAH,nirāmavātaḥ,निरामवातः,vitiation of vāta without association of āma (undigested material) , ,
69,AAB-52,PAKSHAGHATAH/PAKSHAVADHAH (KEVALAVATA),pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),पक्षाघातः/पक्षवधः (केवलवात),hemiplegia/hemiparesis (due only to vātadōṣa) , ,
70,AAB-53,PANGULYAM (KEVALAVATA),pāṅgulyam (kēvalavāta),पाङ्गुल्यम् (केवलवात),limping (due only to vātadōṣa) , ,
71,AAB-54,PADABRAMSAH (KEVALAVATA),pādabhraṁśaḥ (kēvalavāta),पादभ्रंशः (केवलवात),foot drop (due only to vātadōṣa) , ,
72,AAB-55,PADASULAH (KEVALAVATA),pādaśūlaḥ (kēvalavāta),पादशूलः (केवलवात),leg pain (due only to vātadōṣa) , ,
73,AAB-56,PADASUPTATA (KEVALAVATA),pādasuptatā (kēvalavāta),पादसुप्तता (केवलवात),numbness of foot (due only to vātadōṣa) , ,
74,AAB-57,PARUSHYAM (KEVALAVATA),pāruṣyam (kēvalavāta),पारुष्यम् (केवलवात),roughness (due only to vātadōṣa) , ,
75,AAB-58,PARSVAVAMARDAH (KEVALAVATA),pārśvāvamardaḥ (kēvalavāta),पार्श्वावमर्दः (केवलवात),flank pain (due only to vātadōṣa) , ,
76,AAB-59,PINDIKODVESHTANAM (KEVALAVATA),piṇḍikōdvēṣṭanam (kēvalavāta),पिण्डिकोद्वेष्टनम् (केवलवात),calf muscle cramp (due only to vātadōṣa) , ,
77,AAB-60,PURISHATIGADHATVAM (KEVALAVATA),purīṣātigāḍhatvam (kēvalavāta),पुरीषातिगाढत्वम् (केवलवात),hard stool (due only to vātadōṣa) , ,
78,AAB-61,PRUSHTHA-GRAHAH (KEVALAVATA),pr̥ṣṭha-grahaḥ (kēvalavāta),पृष्ठ-ग्रहः (केवलवात),stiff back (due only to vātadōṣa) , ,
79,AAB-62,PRALAPAKAH (KEVALAVATA),pralāpakaḥ (kēvalavāta),प्रलापकः (केवलवात),delirium (due only to vātadōṣa) , ,
80,AAB-63,BADHIRYAM (KEVALAVATA),bādhiryam (kēvalavāta),बाधिर्यम् (केवलवात),deafness (due only to vātadōṣa) , ,
81,AAB-64,BAHUSOSHAH (KEVALAVATA),bāhuśōṣaḥ (kēvalavāta),बाहुशोषः (केवलवात),atrophy of arm (due only to vātadōṣa) , ,
82,AAB-65,BALAHANIH (KEVALAVATA),balahāniḥ (kēvalavāta),बलहानिः (केवलवात),weakness (due only to vātadōṣa) , ,
83,AAB-66,BEDAH (KEVALAVATA),bhēdaḥ (kēvalavāta),भेदः (केवलवात),splitting pain/breaking pain (due only to vātadōṣa) , ,
84,AAB-67,BIRUTA (KEVALAVATA),bhīrutā (kēvalavāta),भीरुता (केवलवात),cowardness (due only to vātadōṣa) , ,
85,AAB-68,MALA-APRAVRUTIH (KEVALAVATA),mala-apravr̥tiḥ (kēvalavāta),मल-अप्रवृतिः (केवलवात),retention of stool (due only to vātadōṣa) , ,
86,AAB-69,MUKATVAM (KEVALAVATA),mūkatvam (kēvalavāta),मूकत्वम् (केवलवात),dumbness/aphasia (due only to vātadōṣa) , ,
87,AAB-70,MOHAH (KEVALAVATA),mōhaḥ (kēvalavāta),मोहः (केवलवात),unconsciousness (due only to vātadōṣa) , ,
88,AAB-71,BRAMAH (KEVALAVATA),bhramaḥ (kēvalavāta),भ्रमः (केवलवात),giddiness (due only to vātadōṣa) , ,
89,AAB-72,BRUVYUDASAH (KEVALAVATA),bhrūvyudāsaḥ (kēvalavāta),भ्रूव्युदासः (केवलवात),twitching eyebrow (due only to vātadōṣa) , ,
90,AAB-73,MANYASTAMBAH (KEVALAVATA),manyāstambhaḥ (kēvalavāta),मन्यास्तम्भः (केवलवात),stiff neck/torticollis/wry neck (due only to vātadōṣa) , ,
91,AAB-74,MUKHASOSHAH (KEVALAVATA),mukhaśōṣaḥ (kēvalavāta),मुखशोषः (केवलवात),xerostomia/dry mouth (due only to vātadōṣa) , ,
92,AAB-75,MUTRANIGRAHAH (KEVALAVATA),mūtranigrahaḥ (kēvalavāta),मूत्रनिग्रहः (केवलवात),anuria/uroschesis (due only to vātadōṣa) , ,
93,AAB-76,RAJONASAH (KEVALAVATA),rajōnāśaḥ (kēvalavāta),रजोनाशः (केवलवात),amenorrhoea (due only to vātadōṣa) , ,
94,AAB-77,RAUKSHYAM (KEVALAVATA),raukṣyam (kēvalavāta),रौक्ष्यम् (केवलवात),dryness (due only to vātadōṣa) , ,
95,AAB-78,LOMAHARSHAH (KEVALAVATA),lōmaharṣaḥ (kēvalavāta),लोमहर्षः (केवलवात),horripilaton (due only to vātadōṣa) , ,
96,AAB-79,LALATABEDAH (KEVALAVATA),lalāṭabhēdaḥ (kēvalavāta),ललाटभेदः (केवलवात),splitting pain of forehead (due only to vātadōṣa) , ,
97,AAB-80,TRIKAGRAHAH (KEVALAVATA),trikagrahaḥ (kēvalavāta),त्रिकग्रहः (केवलवात),sacroiliac joint stiffness (due only to vātadōṣa) , ,
98,AAB-81,VARTMASTAMBAH (KEVALAVATA),vartmastambhaḥ (kēvalavāta),वर्त्मस्तम्भः (केवलवात),ptosis/stiff eyelid (due only to vātadōṣa) , ,
99,AAB-82,VARTMASANKOCAH (KEVALAVATA),vartmasaṅkōcaḥ (kēvalavāta),वर्त्मसङ्कोचः (केवलवात),entropion/contraction of eyelid (due only to vātadōṣa) , ,
100,AAB-83,VAKSHOPARODHAH (KEVALAVATA),vakṣōparōdhaḥ (kēvalavāta),वक्षोपरोधः (केवलवात),impaired thoracic movement (due only to vātadōṣa) , ,
101,AAB-84,VAKSHASTODAH (KEVALAVATA),vakṣastōdaḥ (kēvalavāta),वक्षस्तोदः (केवलवात),chest pain (due only to vātadōṣa) , ,
102,AAB-85,VAK-SANGAH (KEVALAVATA),vāk-saṅgaḥ (kēvalavāta),वाक्-सङ्गः (केवलवात),lalling speech (due only to vātadōṣa) , ,
103,AAB-86,VACALATA (KEVALAVATA),vācālatā (kēvalavāta),वाचालता (केवलवात),talkativeness (due only to vātadōṣa) , ,
104,AAB-87,VATAKHUDDATA/VATAKANTAKAH (KEVALAVATA),vātakhuḍḍatā/vātakaṇṭakaḥ (kēvalavāta),वातखुड्डता/वातकण्टकः (केवलवात),club foot/deformity in ankle (due only to vātadōṣa) , ,
105,AAB-88,VAMANATVAM (KEVALAVATA),vāmanatvam (kēvalavāta),वामनत्वम् (केवलवात),dwarfism (due only to vātadōṣa) , ,
106,AAB-89,VID-BEDAH (KEVALAVATA),viḍ-bhēdaḥ (kēvalavāta),विड्-भेदः (केवलवात),diarrhoea due only to vāta (due only to vātadōṣa) , ,
107,AAB-90,VIPADIKA (NANATMAJA) (KEVALAVATA),vipādikā (nānātmaja) (kēvalavāta),विपादिका (नानात्मज) (केवलवात),cracks in palms and soles (due only to vātadōṣa) , ,
108,AAB-91,VISHADAH/DINATA (KEVALAVATA),viṣādaḥ/dīnatā (kēvalavāta),विषादः/दीनता (केवलवात),depression/apathy (due only to vātadōṣa) , ,
109,AAB-92,VRUSHANAKSHEPAH (KEVALAVATA),vr̥ṣaṇākṣēpaḥ (kēvalavāta),वृषणाक्षेपः (केवलवात),scrotal pain (due only to vātadōṣa) , ,
110,AAB-93,VANKSHANANAHAH (KEVALAVATA),vaṅkṣaṇānāhaḥ (kēvalavāta),वङ्क्षणानाहः (केवलवात),distention of inguinal region (due only to vātadōṣa) , ,
111,AAB-94,VYATHA (KEVALAVATA),vyathā (kēvalavāta),व्यथा (केवलवात),pain/agony (due only to vātadōṣa) , ,
112,AAB-95,SIRASPURTIH (KEVALAVATA),śirāsphūrtiḥ (kēvalavāta),शिरास्फूर्तिः (केवलवात),vasodilatation (due only to vātadōṣa) , ,
113,AAB-96,SIRORUK (KEVALAVATA),śirōruk (kēvalavāta),शिरोरुक् (केवलवात),headache/cephalgia/cephalalgia (due only to vātadōṣa) , ,
114,AAB-97,SUKRAKSHAYAH (KEVALAVATA),śukrakṣayaḥ (kēvalavāta),शुक्रक्षयः (केवलवात),oligospermia (due only to vātadōṣa) , ,
115,AAB-98,SANKHABEDAH (KEVALAVATA),śaṅkhabhēdaḥ (kēvalavāta),शङ्खभेदः (केवलवात),temporal cephalalgia (due only to vātadōṣa) , ,
116,AAB-99,SEPASTAMBAH (KEVALAVATA),śēphastambhaḥ (kēvalavāta),शेफस्तम्भः (केवलवात),priapism (due only to vātadōṣa) , ,
117,AAB-100,SAITYAM (KEVALAVATA),śaityam (kēvalavāta),शैत्यम् (केवलवात),chills/shivering (due only to vātadōṣa) , ,
119,AAB-101,SYAVARUNASYATA (KEVALAVATA),śyāvāruṇāsyatā (kēvalavāta),श्यावारुणास्यता (केवलवात),dusky-red oral pigmentation (due only to vātadōṣa) , ,
120,AAB-102,SRONIBEDAH (KEVALAVATA),śrōṇibhēdaḥ (kēvalavāta),श्रोणिभेदः (केवलवात),pelvic pain (due only to vātadōṣa) , ,
121,AAB-103,SANKOCAH (KEVALAVATA),saṅkōcaḥ (kēvalavāta),सङ्कोचः (केवलवात),contracture (due only to vātadōṣa) , ,
122,AAB-104,SVEDANASAH (KEVALAVATA),svēdanāśaḥ (kēvalavāta),स्वेदनाशः (केवलवात),anhidrosis/hypohidrosis (due only to vātadōṣa) , ,
123,AAB-105,SRAMAH (KEVALAVATA),śramaḥ (kēvalavāta),श्रमः (केवलवात),physical exhaustion (due only to vātadōṣa) , ,
124,AAB-106,SARVANGAROGAH/SARVANGAVATAH (KEVALAVATA),sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),सर्वाङ्गरोगः/सर्वाङ्गवातः (केवलवात),total body paralysis/quadriplegia (due only to vātadōṣa) , ,
125,AAB-107,STAMBAH (KEVALAVATA),stambhaḥ (kēvalavāta),स्तम्भः (केवलवात),stiffness/rigidity/spasticity (due only to vātadōṣa) , ,
126,AAB-108,HANUBEDAH (KEVALAVATA),hanubhēdaḥ (kēvalavāta),हनुभेदः (केवलवात),jaw pain (due only to vātadōṣa) , ,
127,AAB-109,HIKKA (KEVALAVATA),hikkā (kēvalavāta),हिक्का (केवलवात),hiccup/singultus (due only to vātadōṣa) , ,
128,AAB-110,HRUDDRAVAH (KEVALAVATA),hr̥ddravaḥ (kēvalavāta),हृद्द्रवः (केवलवात),palpitation (due only to vātadōṣa) , ,
129,AAB-111,HRUNMOHAH (KEVALAVATA),hr̥nmōhaḥ (kēvalavāta),हृन्मोहः (केवलवात),bradycardia (due only to vātadōṣa) , ,
2976,AAB-112,GRIVAHUNDANAM,grīvāhuṇḍanam,ग्रीवाहुण्डनम् (केवलवात),tremor neck , ,
130,AAC,SAMANYAJAVATAVIKARAH,sāmānyajavātavikāraḥ,सामान्यजवातविकारः,diseases due to vāta , ,
